"file","year","page_from","page_to","project_label","project_type_label","n","# SECTION 1: ABOUT THE PROJECT","# SECTION 2: PROJECT COSTS","# SECTION 3: PROJECT TIMESCALE","# SECTION 4: KEY USER REQUIREMENTS","# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL","# SECTION 1: ABOUT THE REQUIREMENT","# SECTION 2: THE ASSESSMENT PHASE","# SECTION 4: KEY USER REQUIREMENTS REVISED","# B. Section B: Cost","# C. Section C: Timescale","# D. Section D: Performance","# A. Section A: The Project","# A. Section A: The Project (2)","# D. Section D: Performance – Not Applicable","# E. Section E: Cancellation","NA"
"naomprss_2010_97_110.md",2010,97,110,"Falcon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,517,426,1212,168,NA,NA,NA,NA
"naomprss_2011_102_117.md",2011,102,117,"Joint Combat Aircraft (Lightning II)","D&M Phase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_118_136.md",2011,118,136,"Lynx Wildcat","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571,NA,NA,NA,NA
"naomprss_2011_137_147.md",2011,137,147,"Merlin Capability Sustainment Programme","D&M Phase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_148_157.md",2011,148,157,"Puma Life Extension Programme","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973,NA,NA,NA,NA
"naomprss_2011_158_172.md",2011,158,172,"Queen Elizabeth Class Aircraft Carriers","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268,NA,NA,NA,NA
"naomprss_2011_173_181.md",2011,173,181,"Scout Specialist Vehicles","D&M Phase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_182_203.md",2011,182,203,"Type 45 Destroyer","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,NA,NA,NA,NA
"naomprss_2011_204_224.md",2011,204,224,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,1376,NA,NA,NA,NA
"naomprss_2011_225_251.md",2011,225,251,"United Kingdom Military Flying Training System","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,2500,NA,NA,NA,NA
"naomprss_2011_25_37.md",2011,25,37,"A400M","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,NA,NA,NA,NA
"naomprss_2011_252_271.md",2011,252,271,"Watchkeeper","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1727,NA,NA,NA,NA
"naomprss_2011_272_276.md",2011,272,276,"Chinook New Buy","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_277_281.md",2011,277,281,"Cipher","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_282_289.md",2011,282,289,"Indirect Fire Precision Attack","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,NA
"naomprss_2011_290_294.md",2011,290,294,"Marshall","Assessment Phase Projects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2011_295_299.md",2011,295,299,"Military Afloat Reach and Sustainability","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA
